title,link,content
,/sport/live/2025/jun/11/south-africa-v-australia-world-test-championship-final-cricket-day-one-live,"56th over: Australia 211-9 (Starc 1, Hazlewood 0)South Africa’s pace bowlers have been immense since tea. They’ve run through the Australians. Jansen did his best to snatch a five-for from Rabada, almost getting the last wicket with an absolute gem that angled into Hazlewood and moved away and over his off-stump. As it is, Rabada will have a crack next over."
,/football/blog/2025/jun/12/asia-benefits-from-world-cup-expansion-as-afc-qualification-delivers-thrills,There are concerns that quality at the 2026 tournament will be diluted but giving Asia more places has brought a new dimension to qualification
,/football/2025/jun/11/senegal-england-football-daily-newsletter,"England’s Brave Thomas Tuchel might be starting to understand why they call it “The Impossible Job”. On a balmy evening by the River Trent, it took Harry Kane just eight minutes to score against Senegal, and surely leave the edgy disquiet ofSaturday’s 1-0 winover Andorra behind. The fun summertime vibes didn’t last long:three Senegal goals later, the final whistle wasmet with a volley of boosand jeers, England coming up distinctly second best to their opponents.England’s men’s side had never lost to an African nation before, but a record that probably should have fallen at Italia ‘90 was finally claimed in June 2025 – and deservedly so. Senegal may have benefited from funky interpretations of both the handball rule and VAR intervention when Jude Bellingham’s equaliser was chalked off, but this was their night. “I want to congratulate my players for the tremendous performance and mindset they showed out on the pitch today,” manager Pape Thiaw said afterwards. “From the very beginning, they showed they wanted to win.”"
,/football/2025/jun/11/manchester-city-fans-take-legal-action-against-club-over-season-ticket-policy,Club have increased mandatory attendance requirement
,/football/who-scored-blog/2025/jun/11/transfer-window-europe-real-madrid-barcelona-inter-bayern-munich,"Real Madrid, Barcelona, Inter, Bayern Munich and Bayer Leverkusen have already strengthened their squads"
,/football/2025/jun/11/mauricio-pochettino-usmnt-world-cup,"The Americans have now lost four matches in a row, and the World Cup is one year away. Serious questions are starting to emerge about their high-profile coach"
,/football/2025/jun/11/fifa-48-team-club-world-cup-europe,Big clubs concerned they are missing out financially
,/sport/2025/jun/11/aaron-rodgers-steelers-nfl,41-year-old took time before returning for 21st NFL season
,/football/2025/jun/11/jordan-world-cup-qualification-harry-redknapp-ray-wilkins,Improvement of side has been slow and steady since Harry Redknapp and Ray Wilkins had short spells in charge
,/football/audio/2025/jun/11/england-made-to-suffer-by-senegal-and-a-welsh-thriller-in-belgium-football-weekly,"Max Rushden is joined by Barry Glendenning, John Brewin and Nedum Onuoha as Senegal become the first African country to beat the England men’s team"
,/football/2025/jun/11/football-transfer-rumours-leroy-sane-nico-williams-florian-wirtz-jamie-vardy,Today’s fluff has seen this film before
,/football/2025/jun/11/does-us-soccer-need-five-first-divisions-the-answer-isnt-necessarily-no,Men’s and women’s leagues have announced plans for rapid growth. But secession and expansion have long been central elements of US sports
,/sport/2025/jun/11/refugee-cricket-tournament-project-front-foot-the-spin,"In the current wild and fragmented landscape, there is comfort in the sport’s ability to bring hope and community"
,/football/2025/jun/11/manchester-city-sign-tijjani-reijnders-milan,Midfielder arrives from Milan as fourth summer buy
,/football/2025/jun/11/vinicius-brazil-place-at-world-cup-ancelotti-four-forwards-ecuador-qualify,Ecuador also qualify for finals with 0-0 draw in Peru
,/football/2025/jun/11/england-under-21s-euros-lee-carsley-james-mcatee-harvey-elliott,Lee Carsley’s new generation can seize the narrative in Slovakia in the face of the Club World Cup hubbub
,/sport/2025/jun/11/rugby-union-bath-premiership-brian-ashton,Team featuring Jeremy Guscott and Mike Catt won Bath’s most recent title before professional era changed the game
,/football/2025/jun/11/which-regular-runners-up-have-suffered-the-most-heartbreak-in-football,Plus: has anyone done the Beautiful South journey; champions in three different confederations; and did a player score while carrying an umbrella?
,/sport/2025/jun/11/from-the-pocket-australian-football-is-notably-richer-when-its-open-to-everyone,Want to get this in your inbox every Wednesday afternoon?Sign up for the AFL newsletter here.
,/football/blog/2025/jun/11/socceroos-go-from-brink-of-disaster-to-automatic-world-cup-2026-qualification,"Tony Popovic was brought in to stabilise a campaign teetering on the edge, and with five wins and three draws since taking over, the coach has delivered"
