title,link,price
"GMR - 15.6 Inch Full HD Laptop - Intel N95 - 12GB DDR5 RAM - 512GB SSD - Windows 11 Pro voor Thuis, Office en Studie notebook",/nl/nl/p/gmr-15-6-inch-full-hd-laptop-intel-n95-12gb-ddr5-ram-512gb-ssd-windows-11-pro-voor-thuis-office-en-studie-notebook/9300000229932049/,399-
Acer Aspire Go 15 AG15-51P-532J - Laptop - 15.3 inch,/nl/nl/p/acer-aspire-go-15-ag15-51p-532j-laptop-15-3-inch/9300000224326670/,679-
"Blackview AceBook 8 Laptop - 15,6 inch Full HD - 16 GB RAM - 512 GB SSD - Intel N97 - Windows 11 Notebook - UHD Graphics - Grijs",/nl/nl/p/blackview-acebook-8-laptop-15-6-inch-12e-generatie-intel-n97-16-gb-ram-512-gb-ssd-windows-11-grijs/9300000181708231/,279-
"HP Laptop 15-fc0035nd, Windows 11 Home in S-modus, 15.6"", AMD Ryzen™ 3, 8GB RAM, 256GB SSD, FHD, Natuurlijk zilver",/nl/nl/p/laptop-15-fc0035nd-windows-11-home-in-s-modus-15-6-amd-ryzen-3-8gb-ram-256gb-ssd-fhd-natuurlijk-zilver/9300000151425575/,369-
Acer Aspire 3 A317-54-50KW - Laptop - 17.3 inch,/nl/nl/p/acer-aspire-3-a317-54-50kw-laptop-17-3-inch/9300000178203230/,65946
Lenovo IdeaPad Slim 3 16IAH8 83ES0030MH - Laptop - 16 inch,/nl/nl/p/lenovo-ideapad-slim-3-16iah8-83es0030mh-laptop-16-inch/9300000178119766/,489-
ASUS VivoBook 14 X1404ZA-NK699W - Laptop - 14 inch,/nl/nl/p/jlab-go-work-bluetooth-headset-met-microfoon-voor-laptop-pc-headset-voor-de-professional-koptelefoon-bluetooth-met-microfoon-45-uur-batterij-heldere-gesprekken-mute-functie-dubbele-connectiviteit/9300000033112570/,499-
Acer Nitro V 15 ANV15-41 - Gaming Laptop - 15.6 inch - 144Hz,/nl/nl/p/jlab-jbuds-work-draadloze-office-headset-bluetooth-koptelefoon-met-microfoon-60-uur/9300000111777804/,168014
Acer Nitro 16 AN16-42-R1PZ - Gaming laptop - 16 inch - 165 Hz,/nl/nl/p/jlab-epic-work-headset-met-microfoon-bluetooth-voor-laptop-en-computer-computer-headset-90-uur-batterij-usb-c-cloud-foam-oorkussens-2-in-1-charging-dock-draadloze-koptelefoon/9300000225817649/,1489-
HP Elitebook 840 G6 -14'' Full HD - Intel Core i5-8265 - 16GB RAM - 256GB SSD - HDMI - Windows 10 Pro,/nl/nl/p/jlab-go-work-pop-headset-met-microfoon-draadloze-headset-bluetooth-noise-cancelling-microfoon-50-uur-speeltijd/9300000138471435/,325-
